,player_name_x,PA,HR,R,RBI,SB,BB_percentage,K_percentage,OBP,wRC+,BsR,WAR,pitches,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,whiffs,swings,takes
337,Mitch Haniger,410,16,58,47,5,0.076,0.22699999999999998,0.35200000000000004,129,-2.1,2.5,1599,0.282,0.209,0.33799999999999997,0.491,0.364,0.325,0.24600000000000002,104,369,82.3,15.7,153,671,917
338,Mitch Moreland,576,22,73,79,0,0.099,0.20800000000000002,0.326,98,-2.4,0.9,2291,0.24600000000000002,0.19699999999999998,0.278,0.44299999999999995,0.335,0.371,0.27,125,508,84.2,17.6,271,1051,1206
339,Mookie Betts,712,24,101,102,26,0.10800000000000001,0.111,0.344,108,9.2,5.3,2840,0.264,0.19399999999999998,0.268,0.45899999999999996,0.349,0.34,0.265,166,628,83.6,17.0,158,1007,1794
340,Neil Walker,448,14,59,49,0,0.12300000000000001,0.172,0.36200000000000004,114,-0.6,2.1,1716,0.265,0.174,0.297,0.439,0.353,0.341,0.256,102,385,81.6,18.2,147,714,989
341,Nelson Cruz,645,39,91,119,1,0.109,0.217,0.375,146,-4.0,3.8,2502,0.28800000000000003,0.261,0.315,0.5489999999999999,0.39399999999999996,0.402,0.282,160,556,85.0,15.3,356,1167,1295
342,Nick Ahmed,178,6,24,21,3,0.055999999999999994,0.21899999999999997,0.298,76,-0.7,0.2,2605,0.272,0.218,0.313,0.49,0.34700000000000003,0.366,0.28300000000000003,167,614,83.0,16.4,358,1333,1266
343,Nick Castellanos,665,26,73,101,4,0.062,0.214,0.32,111,-2.1,1.7,637,0.251,0.168,0.295,0.419,0.312,0.267,0.22399999999999998,42,167,80.0,14.7,93,326,297
344,Nick Delmonico,166,9,25,23,2,0.139,0.187,0.373,132,-0.5,1.0,476,0.179,0.10400000000000001,0.207,0.28300000000000003,0.253,0.312,0.248,19,106,79.1,11.7,46,197,273
345,Nick Franklin,119,2,9,12,2,0.084,0.185,0.26899999999999996,48,0.9,-0.2,1140,0.244,0.174,0.307,0.418,0.295,0.289,0.237,70,287,81.3,16.5,163,598,535
346,Nick Hundley,303,9,27,35,0,0.04,0.267,0.272,78,-0.8,0.4,2746,0.275,0.11,0.324,0.384,0.331,0.32799999999999996,0.26899999999999996,163,593,83.5,15.4,172,1105,1606
347,Nick Markakis,670,8,76,76,0,0.10099999999999999,0.16399999999999998,0.354,95,-1.1,0.9,1217,0.28800000000000003,0.185,0.375,0.473,0.35,0.314,0.251,90,313,80.9,12.9,248,719,492
348,Nick Williams,343,12,45,55,1,0.057999999999999996,0.28300000000000003,0.33799999999999997,110,-2.2,0.8,679,0.262,0.22,0.27699999999999997,0.48200000000000004,0.374,0.325,0.228,37,141,77.3,15.2,78,312,365
349,Nolan Arenado,680,37,100,130,3,0.091,0.156,0.373,129,0.5,5.6,2659,0.309,0.27699999999999997,0.32,0.586,0.405,0.363,0.27399999999999997,187,606,83.6,21.0,295,1266,1356
350,Nomar Mazara,616,20,64,101,2,0.08900000000000001,0.20600000000000002,0.32299999999999995,92,-2.2,0.4,2466,0.253,0.17,0.293,0.42200000000000004,0.327,0.317,0.242,140,554,83.4,14.2,290,1127,1312
351,Nori Aoki,374,5,48,35,10,0.078,0.11800000000000001,0.335,97,-1.2,0.4,1464,0.27699999999999997,0.11599999999999999,0.301,0.39299999999999996,0.321,0.29100000000000004,0.251,93,336,82.5,11.1,97,671,783
352,Odubel Herrera,563,14,67,56,8,0.055,0.22399999999999998,0.325,100,1.3,2.8,2195,0.281,0.171,0.345,0.452,0.337,0.304,0.253,148,526,81.1,14.5,309,1157,1013
353,Omar Narvaez,295,2,23,14,0,0.129,0.153,0.373,100,-0.9,1.5,1204,0.27699999999999997,0.063,0.33,0.34,0.325,0.317,0.266,70,253,77.5,15.2,77,522,678
354,Orlando Arcia,548,15,56,53,14,0.066,0.182,0.324,85,0.5,1.2,2014,0.27699999999999997,0.13,0.317,0.40700000000000003,0.321,0.284,0.239,140,506,80.5,12.6,275,1068,901
355,Ozzie Albies,244,6,34,28,8,0.086,0.14800000000000002,0.354,112,2.7,1.9,912,0.28600000000000003,0.171,0.316,0.456,0.35200000000000004,0.33,0.26,62,217,82.0,19.2,107,469,434
356,Pablo Sandoval,279,9,27,32,0,0.057,0.19,0.265,64,-1.8,-0.8,1097,0.22,0.147,0.24,0.36700000000000005,0.276,0.293,0.23199999999999998,57,259,82.4,19.1,149,633,463
357,Pat Valaika,195,13,28,40,0,0.036000000000000004,0.272,0.284,92,2.3,0.6,686,0.257,0.273,0.29100000000000004,0.53,0.33299999999999996,0.255,0.21100000000000002,47,183,79.1,18.7,123,382,303
358,Patrick Kivlehan,204,9,23,26,1,0.10800000000000001,0.299,0.304,83,0.5,-0.2,800,0.20800000000000002,0.191,0.257,0.39899999999999997,0.31,0.284,0.19,37,178,79.2,13.8,124,369,427
359,Paul DeJong,443,25,55,65,1,0.047,0.28,0.325,122,-2.4,3.0,1761,0.285,0.247,0.349,0.532,0.365,0.32299999999999995,0.254,119,417,80.4,21.7,253,906,847
360,Paul Goldschmidt,665,36,117,120,18,0.141,0.221,0.40399999999999997,142,3.3,5.3,2816,0.297,0.265,0.34299999999999997,0.563,0.413,0.397,0.278,166,558,85.3,15.8,300,1130,1624
361,Paulo Orlando,90,2,9,6,1,0.011000000000000001,0.222,0.225,34,0.3,-0.4,296,0.198,0.105,0.23399999999999999,0.302,0.22899999999999998,0.292,0.255,17,86,82.8,15.7,52,173,119
362,Peter Bourjos,203,5,27,15,5,0.059000000000000004,0.261,0.272,74,0.8,0.1,814,0.223,0.16,0.282,0.38299999999999995,0.284,0.23600000000000002,0.19,42,188,80.3,12.7,114,392,414
363,Rafael Devers,240,10,34,30,3,0.075,0.23800000000000002,0.33799999999999997,111,0.1,0.9,901,0.284,0.198,0.342,0.48200000000000004,0.355,0.29600000000000004,0.223,63,222,82.5,16.0,120,452,437
