"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"406",453203,"Shane Robinson","406","100.00","0.173","0.061","0.200","0.235","0.227","0.241","0.190","17","98","79.3","15.4","2177","89.7","89.02","36","175","225","-0.7","6.02","104","148","99","145","297","312","282"
"401",475100,"Scott Van Slyke","401","100.00","0.225","0.088","0.282","0.314","0.273","0.347","0.273","23","102","81.8","18.9","2232","89.9","89.45","48","191","203","-0.5","6.02","108","150","115","145","305","318","298"
"398",608061,"T.J. Rivera","398","100.00","0.333","0.143","0.360","0.476","0.351","0.296","0.273","35","105","82.1","19.4","2249","88.8","88.11","52","218","179","-0.7","6.12","106","150","110","147","294","310","286"
"398",600301,"Taylor Motter","398","100.00","0.188","0.113","0.217","0.300","0.270","0.282","0.199","15","80","79.8","16.4","2197","88.4","88.07","36","170","227","-0.3","6.09","106","149","110","144","300","318","287"
"397",488681,"Brandon Barnes","397","100.00","0.220","0.100","0.314","0.320","0.239","0.272","0.225","22","100","78.9","19.1","2256","89.3","88.93","65","220","172","-0.4","5.88","107","149","104","146","306","323","296"
"394",546991,"Albert Almora Jr.","394","100.00","0.277","0.179","0.315","0.455","0.329","0.314","0.276","31","112","83.2","11.8","2224","89.3","89.03","47","200","190","-0.3","6.22","106","149","105","145","295","313","289"
"388",493472,"Eric Campbell","388","100.00","0.173","0.053","0.235","0.227","0.245","0.278","0.199","13","75","81.8","16.1","2237","88.2","87.25","41","162","220","-0.9","5.96","107","151","112","146","296","309","285"
"388",592808,"Andrew Toles","388","100.00","0.314","0.190","0.385","0.505","0.375","0.319","0.253","33","105","84.7","11.0","2203","89.3","88.76","57","214","164","-0.5","6.04","107","145","98","143","284","308","297"
"387",608703,"Matt Reynolds","387","100.00","0.225","0.191","0.327","0.416","0.288","0.260","0.211","20","89","80.7","10.4","2240","89.5","88.76","48","174","210","-0.7","6.12","107","150","108","146","300","313","286"
"376",488912,"Tuffy Gosewisch","376","100.00","0.156","0.133","0.169","0.289","0.228","0.252","0.194","14","90","81.9","20.3","2268","88.5","88.44","35","173","201","-0.1","6.18","109","151","112","147","298","313","289"
"373",592122,"Tyler Austin","373","100.00","0.241","0.217","0.357","0.458","0.327","0.287","0.192","20","83","83.8","17.1","2156","88.4","87.49","74","185","188","-0.9","5.87","109","152","115","146","301","317","286"
"368",572019,"Ben Paulsen","368","100.00","0.217","0.087","0.297","0.304","0.251","0.243","0.198","20","92","82.6","16.9","2162","88.7","88.68","56","206","157","0.0","6.13","116","153","120","147","294","320","301"
"360",593647,"Socrates Brito","360","100.00","0.179","0.179","0.191","0.358","0.236","0.276","0.244","17","95","79.9","19.5","2178","88.9","88.68","44","202","155","-0.2","6.06","108","147","102","148","286","315","301"
"353",621563,"Joey Wendle","353","100.00","0.260","0.042","0.296","0.302","0.271","0.297","0.267","25","96","86.9","10.0","2235","87.7","87.23","27","176","176","-0.5","6.13","115","147","103","148","282","314","296"
"353",571974,"John Ryan Murphy","353","100.00","0.146","0.073","0.175","0.220","0.183","0.244","0.196","12","82","83.1","19.4","2216","88.4","87.92","36","167","184","-0.5","6.12","107","150","110","145","295","309","282"
"351",573131,"Darin Ruf","351","100.00","0.205","0.133","0.246","0.337","0.248","0.309","0.247","17","83","86.8","17.9","2194","89.2","88.41","44","166","185","-0.8","6.09","106","152","116","145","299","311","287"
"350",492841,"Michael Martinez","350","100.00","0.238","0.069","0.299","0.307","0.254","0.212","0.186","24","101","79.7","17.0","2170","88.9","88.44","46","192","151","-0.5","6.04","104","145","97","144","285","312","292"
"342",502544,"Nick Buss","342","100.00","0.198","0.148","0.259","0.346","0.254","0.250","0.203","16","81","77.5","19.3","2190","88.2","87.33","39","179","159","-0.9","5.93","111","146","99","148","286","312","294"
"333",456124,"Erik Kratz","333","100.00","0.094","0.059","0.135","0.153","0.111","0.185","0.156","8","85","83.9","16.4","2239","88.5","87.77","61","169","161","-0.7","6.01","107","149","114","145","297","314","286"
"333",431171,"Casey McGehee","333","100.00","0.228","0.011","0.269","0.239","0.230","0.288","0.252","21","92","84.2","13.1","2165","87.7","87.33","25","163","169","-0.4","6.20","105","148","115","146","300","323","286"
"326",455369,"Ramiro Pena","326","100.00","0.299","0.126","0.357","0.425","0.331","0.270","0.245","26","87","80.6","20.8","2169","89.0","88.91","35","172","146","-0.1","6.14","107","147","103","147","283","311","291"
"311",572033,"Josh Phegley","311","100.00","0.256","0.115","0.292","0.372","0.303","0.321","0.257","20","78","82.1","15.6","2157","87.5","86.89","34","160","149","-0.6","6.07","106","148","113","144","299","319","287"
"293",434567,"Geovany Soto","293","100.00","0.269","0.218","0.321","0.487","0.340","0.352","0.290","21","78","85.1","10.0","2181","89.1","88.42","35","128","164","-0.7","6.01","106","149","111","144","299","313","288"
"290",408307,"Carl Crawford","290","100.00","0.185","0.049","0.211","0.235","0.211","0.239","0.205","15","81","81.9","8.2","2203","89.0","88.39","31","151","137","-0.6","6.01","112","146","103","145","281","310","300"
"283",592230,"Kaleb Cowart","283","100.00","0.174","0.081","0.226","0.256","0.190","0.232","0.208","15","86","82.7","17.3","2195","87.3","86.37","41","171","111","-0.9","5.91","111","147","110","149","294","315","297"
