pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1473,527038,Wilmer Flores,1473,100,0.271,0.217,0.27,0.488,0.338,0.318,0.259,91,336,82.3,20,2221,89,88.6,125,760,706,-0.4,6.1,107,151,114,147,297,317,293
2159,592696,Eddie Rosario,2159,100,0.29,0.218,0.312,0.507,0.354,0.318,0.252,157,542,81.8,18.2,2224,87.8,87.23,286,1184,961,-0.6,6.03,112,147,103,148,289,318,297
2466,608577,Nomar Mazara,2466,100,0.253,0.17,0.293,0.422,0.327,0.317,0.242,140,554,83.4,14.2,2206,88.1,87.75,290,1127,1312,-0.3,6.08,115,151,118,150,293,323,302
1212,465041,Francisco Cervelli,1212,100,0.249,0.121,0.311,0.37,0.321,0.317,0.241,66,265,81.6,9.1,2237,88.6,88.03,119,499,706,-0.6,6,109,151,110,147,301,315,288
2313,542921,Tim Beckham,2313,100,0.278,0.176,0.365,0.454,0.339,0.317,0.249,148,533,81.1,13.5,2236,88.2,87.53,362,1166,1137,-0.7,5.96,109,151,109,146,299,323,290
384,605119,Brian Anderson,384,100,0.262,0.107,0.386,0.369,0.315,0.317,0.25,22,84,80.6,12.9,2201,89.1,88.4,54,180,204,-0.7,6.03,107,150,116,147,303,317,288
545,592685,Drew Robinson,545,100,0.224,0.215,0.305,0.439,0.329,0.317,0.205,24,107,80.3,19.2,2219,89,88.7,74,252,292,-0.3,6.12,113,149,111,150,293,321,303
2032,452655,Denard Span,2032,100,0.272,0.155,0.295,0.427,0.331,0.317,0.268,135,497,79.7,14.4,2219,88.8,88.26,105,887,1132,-0.5,5.97,113,148,99,149,284,314,297
1204,553882,Omar Narvaez,1204,100,0.277,0.063,0.33,0.34,0.325,0.317,0.266,70,253,77.5,15.2,2249,89.2,88.84,77,522,678,-0.4,6.1,115,149,111,148,280,312,296
429,606192,Teoscar Hernandez,429,100,0.261,0.341,0.333,0.602,0.377,0.317,0.218,23,88,76.8,18.7,2258,89.1,88.47,76,215,211,-0.6,5.98,104,149,110,143,293,321,290
529,600869,Jeimer Candelario,529,100,0.283,0.142,0.351,0.425,0.348,0.316,0.243,36,127,83.8,17,2158,88.8,88.44,68,238,289,-0.4,6.04,114,148,111,149,291,319,295
1561,543484,Mikie Mahtook,1561,100,0.276,0.181,0.324,0.457,0.341,0.316,0.252,96,348,82.3,15.5,2229,88.4,88.02,140,674,881,-0.4,6.09,107,151,111,146,299,321,289
1664,543543,Brad Miller,1664,100,0.201,0.136,0.265,0.337,0.303,0.316,0.209,68,338,80.5,17.9,2238,89.2,88.53,236,754,893,-0.7,6.01,115,150,112,150,290,324,300
2320,514917,Cesar Hernandez,2320,100,0.294,0.127,0.353,0.421,0.353,0.316,0.251,150,511,79.9,9.7,2181,88.7,88.21,195,933,1361,-0.5,6.1,109,148,97,148,283,309,289
2049,598265,Jackie Bradley Jr.,2049,100,0.245,0.158,0.294,0.402,0.321,0.315,0.233,118,482,83.3,15.4,2200,88.5,87.97,283,957,1067,-0.5,6,111,147,110,149,286,320,302
833,595284,Andrew Knapp,833,100,0.257,0.111,0.36,0.368,0.334,0.315,0.227,44,171,82.7,12.2,2180,89.3,88.88,95,343,473,-0.4,6.12,113,149,113,150,288,313,293
1733,518792,Jason Heyward,1733,100,0.259,0.13,0.284,0.389,0.315,0.315,0.257,112,432,81.7,16.1,2181,89.9,89.46,132,803,922,-0.4,6.05,116,149,112,150,291,316,298
1344,656305,Matt Chapman,1344,100,0.234,0.238,0.29,0.472,0.337,0.314,0.216,68,290,83.5,25,2261,87.9,87.43,174,574,766,-0.5,5.97,107,150,114,145,300,320,293
2370,593160,Whit Merrifield,2370,100,0.288,0.172,0.308,0.46,0.338,0.314,0.258,169,587,82.5,20.4,2240,88.3,88.03,210,1198,1160,-0.3,6.07,105,149,102,146,300,316,286
382,592808,Andrew Toles,382,100,0.271,0.188,0.28,0.458,0.335,0.314,0.246,26,96,81.4,13,2217,87.9,87.18,35,198,182,-0.7,5.93,110,148,105,144,291,315,300
1217,608384,Nick Williams,1217,100,0.288,0.185,0.375,0.473,0.35,0.314,0.251,90,313,80.9,12.9,2220,88.7,88.37,248,719,492,-0.3,6.17,111,147,106,150,287,316,297
2279,592387,Ryon Healy,2279,100,0.271,0.181,0.319,0.451,0.326,0.313,0.252,156,576,83.4,15.8,2257,88,87.47,291,1083,1190,-0.5,5.95,107,151,116,146,302,324,294
2287,430945,Adam Jones,2287,100,0.285,0.181,0.312,0.466,0.34,0.313,0.258,170,597,81.7,17.8,2235,88.2,87.42,325,1329,944,-0.8,5.89,108,151,112,146,301,323,291
1141,500743,Miguel Rojas,1141,100,0.29,0.085,0.324,0.375,0.33,0.313,0.274,79,272,77.6,12.6,2209,89.4,88.82,74,543,567,-0.6,6.1,108,149,107,146,297,307,282
1306,517369,Jose Pirela,1306,100,0.288,0.202,0.343,0.49,0.36,0.312,0.248,90,312,82.6,12.7,2217,88.8,88.07,160,610,691,-0.7,5.94,108,149,108,146,299,318,293
1376,456665,Steve Pearce,1376,100,0.252,0.185,0.281,0.438,0.329,0.312,0.239,79,313,82.6,16.2,2239,88.3,87.64,139,650,717,-0.7,5.97,108,151,116,145,296,324,296
1706,472528,Luis Valbuena,1706,100,0.199,0.233,0.21,0.432,0.314,0.312,0.203,69,347,82.6,22.5,2192,88.2,87.76,215,750,948,-0.4,5.99,114,158,116,149,294,321,303
2182,543063,Brandon Crawford,2182,100,0.253,0.151,0.293,0.403,0.309,0.312,0.245,131,518,82.3,17.4,2192,88.2,87.67,312,1114,1054,-0.5,6.01,113,147,109,149,294,320,302
1933,571697,Scooter Gennett,1933,100,0.295,0.236,0.339,0.531,0.374,0.312,0.247,136,461,81.3,18,2191,88.7,88.38,205,944,975,-0.3,6.13,113,147,109,149,289,315,296
2196,605412,Joe Panik,2196,100,0.288,0.133,0.301,0.421,0.336,0.312,0.257,147,511,81,15.3,2173,88.6,88,105,944,1231,-0.6,5.99,115,148,105,149,287,317,300
1573,453056,Jacoby Ellsbury,1573,100,0.264,0.138,0.304,0.402,0.328,0.312,0.253,94,356,80.9,12.5,2213,88.8,88.21,122,670,883,-0.6,6.04,110,147,102,148,282,315,294
476,545338,Nick Franklin,476,100,0.179,0.104,0.207,0.283,0.253,0.312,0.248,19,106,79.1,11.7,2229,89,88.41,46,197,273,-0.6,5.95,114,147,105,149,290,311,293
2144,435063,Mike Napoli,2144,100,0.193,0.235,0.225,0.428,0.308,0.311,0.199,82,425,83.3,26.4,2223,89.2,88.78,318,921,1204,-0.4,6.07,106,151,116,146,303,326,298
387,451192,Jim Adduci,387,100,0.241,0.157,0.345,0.398,0.318,0.311,0.245,20,83,82.3,13.5,2221,89.5,88.94,49,195,192,-0.6,5.98,113,147,109,147,286,319,300
450,514913,Ruben Tejada,450,100,0.23,0.053,0.265,0.283,0.262,0.311,0.266,26,113,81.8,16.3,2238,89.4,88.86,33,220,226,-0.5,6,106,150,106,145,296,311,276
943,460269,Chris Gimenez,943,100,0.22,0.161,0.286,0.382,0.327,0.311,0.212,41,186,81.5,19.3,2213,88.6,88.1,111,395,541,-0.5,6.06,107,150,113,145,298,316,286
1536,467827,Gerardo Parra,1536,100,0.309,0.143,0.343,0.452,0.343,0.311,0.267,121,392,80.9,11.7,2178,88.7,88.51,154,785,733,-0.2,6.03,113,148,105,148,296,321,305
1210,594824,Greg Garcia,1210,100,0.253,0.079,0.335,0.332,0.316,0.311,0.242,61,241,76.6,11.1,2218,89.3,88.84,96,474,721,-0.5,6.02,112,148,103,149,288,313,297
1851,592273,Brandon Drury,1851,100,0.267,0.18,0.32,0.447,0.331,0.31,0.253,119,445,82.5,10.1,2244,88.7,88.1,198,839,1001,-0.6,5.94,108,150,112,146,303,320,295
882,607054,Jace Peterson,882,100,0.215,0.102,0.279,0.317,0.29,0.31,0.228,40,186,82.2,8.2,2206,88.9,88.34,92,336,529,-0.6,5.97,111,148,104,150,289,312,296
2513,572816,Corey Dickerson,2513,100,0.282,0.207,0.338,0.49,0.35,0.31,0.249,166,588,81,22.2,2228,88.9,88.27,418,1464,1023,-0.6,6.02,115,151,117,151,292,324,301
